,FullName,University,SubField,Bachelors,Doctorate,Inst. Score,Subf. Score,Score,Empty Count
2505,J. Robin B. Cockett,University of Calgary,High-Performance Computing,Warwick Manufacturing Group,University of Leeds,0,7,7,0
2506,Jeffrey E. Boyd,University of Calgary,Computer Vision,University of Calgary,University of British Columbia,0,5,5,0
2507,John Aycock,University of Calgary,Computer Security,University of Calgary,University of Victoria,0,31,31,0
2508,Jon G. Rokne,University of Calgary,Algorithms & Complexity,,University of Calgary,0,32,32,1
2509,Jörg Denzinger,University of Calgary,Artificial Intelligence,University of Kaiserslautern,University of Kaiserslautern,0,2,2,0
2510,Ken Barker,University of Calgary,Databases,University of Calgary,University of Alberta,0,0,0,0
2511,Lora Oehlberg,University of Calgary,Software Engineering,Stanford University,"University of California, Berkeley",0,12,12,0
2512,Majid Ghaderi,University of Calgary,Computer Networks,,University of Waterloo,0,34,34,1
2513,Marina Gavrilova,University of Calgary,Computer Graphics,Moscow State University,University of Calgary,0,14,14,0
2514,Mario Costa Sousa,University of Calgary,Computer Graphics,Universidade Católica de Petrópolis,University of Alberta,0,14,14,0
2515,Mea Wang,University of Calgary,Computer Networks,University of Manitoba,University of Toronto,0,34,34,0
2516,Michael E. Locasto,University of Calgary,Computer Security,The College of New Jersey,Columbia University,0,31,31,0
2517,Michael J. Jacobson Jr.,University of Calgary,Computer Security,,,0,31,31,2
2518,Payman Mohassel,University of Calgary,Computer Security,"University of California, Davis","University of California, Davis",0,31,31,0
2519,Peter Hoyer,University of Calgary,Algorithms & Complexity,University of Southern Denmark,University of Southern Denmark,0,32,32,0
2520,Philip W. L. Fong,University of Calgary,Computer Security,University of Waterloo,Simon Fraser University,0,31,31,0
2521,Philipp Woelfel,University of Calgary,Algorithms & Complexity,,TU Dortmund,0,32,32,1
2522,Przemyslaw Prusinkiewicz,University of Calgary,Computer Graphics,,Warsaw University of Technology,0,14,14,1
2523,Reda Alhajj,University of Calgary,Databases,Middle East Technical University,Bilkent University,0,0,0,0
2524,Reihaneh Safavi-Naini,University of Calgary,Computer Security,University of Tehran,University of Tehran,0,31,31,0
2525,Renate Scheidler,University of Calgary,Computer Security,University of Cologne,University of Manitoba,0,31,31,0
2526,Rob Kremer,University of Calgary,Artificial Intelligence,University of Calgary,University of Calgary,0,2,2,0
2527,Robert J. Walker,University of Calgary,Software Engineering,University of British Columbia,University of British Columbia,0,12,12,0
2528,Saul Greenberg,University of Calgary,Human-Computer Interaction,McGill University,University of Calgary,0,21,21,0
2529,Sonny Chan,University of Calgary,Human-Computer Interaction,University of Calgary,Stanford University,0,21,21,0
2530,Usman R. Alim,University of Calgary,Computer Graphics,University of Rochester,Simon Fraser University,0,14,14,0
2531,Wayne Eberly,University of Calgary,Algorithms & Complexity,,,0,32,32,2
2532,Wesley J. Willett,University of Calgary,Computer Graphics,University of Colorado Boulder,"University of California, Berkeley",0,14,14,0
2533,Zongpeng Li,University of Calgary,Computer Networks,Tsinghua University,University of Toronto,0,34,34,0
2534,Aditya G. Parameswaran,"University of California, Berkeley",Databases,Indian Institute of Technology Bombay,Stanford University,0,0,0,0
2535,Alberto L. Sangiovanni-Vincentelli,"University of California, Berkeley",,,,0,0,0,3
2536,Alessandro Chiesa,"University of California, Berkeley",Algorithms & Complexity,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,32,32,0
2537,Alexandre M. Bayen,"University of California, Berkeley",,,,0,0,0,3
2538,Alexei A. Efros,"University of California, Berkeley",Computer Vision,University of Utah,"University of California, Berkeley",0,5,5,0
2539,Ali Javey,"University of California, Berkeley",,,,0,0,0,3
2540,Ali M. Niknejad,"University of California, Berkeley",,,,0,0,0,3
2541,Alistair Sinclair,"University of California, Berkeley",Algorithms & Complexity,University of Cambridge,University of Edinburgh,0,32,32,0
2542,Alvin Cheung,"University of California, Berkeley",Machine Learning & Data Mining,Stanford University,Massachusetts Institute of Technology,0,25,25,0
2543,Ana Claudia Arias,"University of California, Berkeley",,,,0,0,0,3
2544,Anant Sahai,"University of California, Berkeley",,,,0,0,0,3
2545,Anca D. Dragan,"University of California, Berkeley",,,,0,0,0,3
2546,Angjoo Kanazawa,"University of California, Berkeley",,,,0,0,0,3
2547,Anthony D. Joseph,"University of California, Berkeley",Operating Systems,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,0,0,0
2548,Armando Fox,"University of California, Berkeley",Operating Systems,Massachusetts Institute of Technology,"University of California, Berkeley",0,0,0,0
2549,Asanovic,"University of California, Berkeley",Computer Architecture,University of Cambridge,"University of California, Berkeley",0,2,2,0
2550,Avideh Zakhor,"University of California, Berkeley",,,,0,0,0,3
2551,Bala Kameshwar Poolla,"University of California, Berkeley",,,,0,0,0,3
2552,Ben Recht,"University of California, Berkeley",Machine Learning & Data Mining,University of Chicago,Massachusetts Institute of Technology,0,25,25,0
2553,Bernd Sturmfels,"University of California, Berkeley",Comp. Bio & Bioinformatics,,University of Washington,0,2,2,1
2554,Bernhard E. Boser,"University of California, Berkeley",,,,0,0,0,3
2555,Bin Yu,"University of California, Berkeley",,,,0,0,0,3
2556,Bjoern Hartmann,"University of California, Berkeley",Human-Computer Interaction,University of Pennsylvania,Stanford University,0,21,21,0
2557,Borivoje Nikolic,"University of California, Berkeley",,,,0,0,0,3
2558,Brian A. Barsky,"University of California, Berkeley",Comp. Bio & Bioinformatics,McGill University,University of Utah,0,2,2,0
2559,Chang Ming Wu,"University of California, Berkeley",,,,0,0,0,3
2560,Chunlei Liu,"University of California, Berkeley",,,,0,0,0,3
2561,Constance J. Chang-Hasnain,"University of California, Berkeley",,,,0,0,0,3
2562,Costas J. Spanos,"University of California, Berkeley",,,,0,0,0,3
2563,Daniel Klein,"University of California, Berkeley",Natural Language Processing,Cornell University,Stanford University,0,0,0,0
2564,David A. Wagner,"University of California, Berkeley",Computer Security,Princeton University,"University of California, Berkeley",0,31,31,0
2565,David Bamman,"University of California, Berkeley",,,,0,0,0,3
2566,David Culler,"University of California, Berkeley",Operating Systems,"University of California, Berkeley",Massachusetts Institute of Technology,0,0,0,0
2567,Dawn Song,"University of California, Berkeley",Computer Security,Tsinghua University,"University of California, Berkeley",0,31,31,0
2568,Edward A. Lee,"University of California, Berkeley",,,,0,0,0,3
2569,Elad Alon,"University of California, Berkeley",,,,0,0,0,3
2570,Eli Yablonovitch,"University of California, Berkeley",,,,0,0,0,3
2571,Eric A. Brewer,"University of California, Berkeley",Programming Languages,"University of California, Berkeley",Massachusetts Institute of Technology,0,7,7,0
2572,Eric Paulos,"University of California, Berkeley",Human-Computer Interaction,,"University of California, Berkeley",0,21,21,1
2573,George C. Necula,"University of California, Berkeley",Programming Languages,Politehnica University of Bucharest,Carnegie Mellon University,0,7,7,0
2574,Hany Farid,"University of California, Berkeley",,University of Rochester,University of Pennsylvania,0,0,0,1
2575,Ion Stoica,"University of California, Berkeley",Computer Networks,,Carnegie Mellon University,0,34,34,1
2576,James Demmel,"University of California, Berkeley",Computer Architecture,California Institute of Technology,"University of California, Berkeley",0,2,2,0
2577,James F. O'Brien,"University of California, Berkeley",Computer Graphics,Florida International University,Georgia Institute of Technology,0,14,14,0
2578,Jan M. Rabaey,"University of California, Berkeley",,,,0,0,0,3
2579,Jelani Nelson,"University of California, Berkeley",Algorithms & Complexity,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,32,32,0
2580,Jennifer Listgarten,"University of California, Berkeley",Artificial Intelligence,Queen's University,University of Toronto,0,2,2,0
2581,Jitendra Malik,"University of California, Berkeley",Computer Vision,Indian Institute of Technology Kanpur,Stanford University,0,5,5,0
2582,John Canny,"University of California, Berkeley",Artificial Intelligence,University of Adelaide,Massachusetts Institute of Technology,0,2,2,0
2583,John D. Kubiatowicz,"University of California, Berkeley",Operating Systems,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,0,0,0
2584,John Wawrzynek,"University of California, Berkeley",Computer Architecture,State University of New York,California Institute of Technology,0,2,2,0
2585,Jonathan Richard Shewchuk,"University of California, Berkeley",Scientific Computing,Simon Fraser University,Carnegie Mellon University,0,7,7,0
2586,Jose M. Carmena,"University of California, Berkeley",Robotics,Polytechnic University of Valencia,University of Edinburgh,0,62,62,0
2587,Joseph E. Gonzalez,"University of California, Berkeley",,,,0,0,0,3
2588,Joseph M. Hellerstein,"University of California, Berkeley",Databases,Harvard University,University of Wisconsin-Madison,0,0,0,0
2589,Kannan Ramchandran,"University of California, Berkeley",Robotics,City College of New York,Columbia University,0,62,62,0
2590,Katherine A. Yelick,"University of California, Berkeley",Scientific Computing,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,7,7,0
2591,Kathy Yelick,"University of California, Berkeley",Algorithms & Complexity,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,32,32,0
2592,Ken Goldberg,"University of California, Berkeley",Artificial Intelligence,University of Pennsylvania,Carnegie Mellon University,0,2,2,0
2593,Koushik Sen,"University of California, Berkeley",Programming Languages,Indian Institute of Technology Kanpur,University of Illinois at Urbana-Champaign,0,7,7,0
2594,Krste Asanovic,"University of California, Berkeley",Computer Architecture,,"University of California, Berkeley",0,2,2,1
2595,Kurt Keutzer,"University of California, Berkeley",Machine Learning & Data Mining,Maharishi International University,Indiana University Bloomington,0,25,25,0
2596,Laura Waller,"University of California, Berkeley",Computer Graphics,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,14,14,0
2597,Laurent El Ghaoui,"University of California, Berkeley",Machine Learning & Data Mining,École polytechnique,Stanford University,0,25,25,0
2598,Marti A. Hearst,"University of California, Berkeley",Human-Computer Interaction,"University of California, Berkeley","University of California, Berkeley",0,21,21,0
2599,Martin J. Wainwright,"University of California, Berkeley",Theory,University of Waterloo,Massachusetts Institute of Technology,0,2,2,0
2600,Michael I. Jordan,"University of California, Berkeley",Machine Learning & Data Mining,,"University of California, San Diego",0,25,25,1
2601,Michel M. Maharbiz,"University of California, Berkeley",Comp. Bio & Bioinformatics,Cornell University,"University of California, Berkeley",0,2,2,0
2602,Moritz Hardt,"University of California, Berkeley",Machine Learning & Data Mining,Saarland University,Princeton University,0,25,25,0
2603,Nilah Ioannidis,"University of California, Berkeley",Comp. Bio & Bioinformatics,Harvard University,Harvard University,0,2,2,0
2604,Nir Yosef,"University of California, Berkeley",Comp. Bio & Bioinformatics,Ben-Gurion University of the Negev,Tel Aviv University,0,2,2,0
2605,Peter Bartlett,"University of California, Berkeley",Machine Learning & Data Mining,,University of Queensland,0,25,25,1
2606,Pieter Abbeel,"University of California, Berkeley",Artificial Intelligence,Katholieke Universiteit Leuven,Stanford University,0,2,2,0
2607,Prabal Dutta,"University of California, Berkeley",Embedded & Real-Time Systems,Ohio State University,"University of California, Berkeley",0,14,14,0
2608,Prasad Raghavendra,"University of California, Berkeley",Algorithms & Complexity,Indian Institute of Technology Madras,University of Washington,0,32,32,0
2609,Raluca A. Popa,"University of California, Berkeley",Computer Security,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,31,31,0
2610,Randy H. Katz,"University of California, Berkeley",Operating Systems,Cornell University,"University of California, Berkeley",0,0,0,0
2611,Ren Ng,"University of California, Berkeley",Computer Graphics,Stanford University,Stanford University,0,14,14,0
2612,Richard M. Karp,"University of California, Berkeley",Comp. Bio & Bioinformatics,,Harvard University,0,2,2,1
2613,Ruzena Bajcsy,"University of California, Berkeley",Artificial Intelligence,,Stanford University,0,2,2,1
2614,S. Shankar Sastry,"University of California, Berkeley",Artificial Intelligence,Indian Institute of Technology Bombay,"University of California, Berkeley",0,2,2,0
2615,Sanjam Garg,"University of California, Berkeley",Computer Education,Indian Institute of Technology Delhi,"University of California, Los Angeles",0,4,4,0
2616,Sanjit A. Seshia,"University of California, Berkeley",Logic & Verification,Indian Institute of Technology Bombay,Carnegie Mellon University,0,0,0,0
2617,Satish Rao,"University of California, Berkeley",Algorithms & Complexity,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,32,32,0
2618,Sayeef S. Salahuddin,"University of California, Berkeley",,,,0,0,0,3
2619,Scott Shenker,"University of California, Berkeley",Operating Systems,Brown University,"University of California, Berkeley",0,0,0,0
2620,Sergey Levine,"University of California, Berkeley",Robotics,Stanford University,Stanford University,0,62,62,0
2621,Seth R. Sanders,"University of California, Berkeley",,,,0,0,0,3
2622,Stuart J. Russell,"University of California, Berkeley",Artificial Intelligence,University of Oxford,Stanford University,0,2,2,0
2623,Sylvia Ratnasamy,"University of California, Berkeley",Operating Systems,Savitribai Phule Pune University,"University of California, Berkeley",0,0,0,0
2624,Thomas Courtade,"University of California, Berkeley",Theory,Michigan Technological University,"University of California, Los Angeles",0,2,2,0
2625,Trevor Darrell,"University of California, Berkeley",Artificial Intelligence,University of Pennsylvania,Massachusetts Institute of Technology,0,2,2,0
2626,Umesh V. Vazirani,"University of California, Berkeley",Algorithms & Complexity,Indian Institute of Technology Delhi,"University of California, Berkeley",0,32,32,0
2627,Vern Paxson,"University of California, Berkeley",Computer Networks,,"University of California, Berkeley",0,34,34,1
2628,Vivek Subramanian,"University of California, Berkeley",,,,0,0,0,3
2629,Vladimir Marko Stojanovic,"University of California, Berkeley",,,,0,0,0,3
2630,Yun S. Song,"University of California, Berkeley",Comp. Bio & Bioinformatics,Massachusetts Institute of Technology,Stanford University,0,2,2,0
2631,Aditya Thakur,"University of California, Davis",Programming Languages,Savitribai Phule Pune University,University of Wisconsin-Madison,0,7,7,0
2632,Bernd Hamann,"University of California, Davis",High-Performance Computing,Technical University of Braunschweig,Arizona State University,0,7,7,0
2633,Bertram Ludaescher,"University of California, Davis",Databases,,University of Freiburg,0,0,0,1
2634,Biswanath Mukherjee,"University of California, Davis",Computer Networks,Indian Institute of Technology Kharagpur,University of Washington,0,34,34,0
2635,Cindy Rubio-González,"University of California, Davis",Algorithms & Complexity,Instituto Tecnológico de Saltillo,University of Wisconsin-Madison,0,32,32,0
2636,Daniel Gusfield,"University of California, Davis",Algorithms & Complexity,"University of California, Berkeley","University of California, Berkeley",0,32,32,0
2637,David Doty,"University of California, Davis",Algorithms & Complexity,Iowa State University,Iowa State University,0,32,32,0
2638,Dipak Ghosal,"University of California, Davis",Computer Networks,Indian Institute of Technology Kanpur,University of Louisiana at Lafayette,0,34,34,0
2639,François Gygi,"University of California, Davis",Scientific Computing,,ETH Zurich,0,7,7,1
2640,Hao Chen,"University of California, Davis",Computer Security,Southeast University,"University of California, Berkeley",0,31,31,0
2641,Ian Davidson,"University of California, Davis",Computer Networks,Indian Institute of Technology Kanpur,University of Louisiana at Lafayette,0,34,34,0
2642,Ilias Tagkopoulos,"University of California, Davis",Machine Learning & Data Mining,University of Patras,Princeton University,0,25,25,0
2643,Jason Lowe-Power,"University of California, Davis",High-Performance Computing,Georgia Institute of Technology,University of Wisconsin-Madison,0,7,7,0
2644,Josh McCoy,"University of California, Davis",Artificial Intelligence,Earlham College,"University of California, Santa Cruz",0,2,2,0
2645,Karl N. Levitt,"University of California, Davis",Computer Security,,New York University,0,31,31,1
2646,Kennet I. Joy,"University of California, Davis",Computer Graphics,"University of California, Los Angeles",University of Colorado Boulder,0,14,14,0
2647,Kwan-Liu Ma,"University of California, Davis",Computer Graphics,,University of Utah,0,14,14,1
2648,Matt Bishop,"University of California, Davis",Computer Security,"University of California, Berkeley",Purdue University,0,31,31,0
2649,Matthew K. Farrens,"University of California, Davis",Computer Architecture,Nebraska Wesleyan University,University of Wisconsin-Madison,0,2,2,0
2650,Matthew K. Franklin,"University of California, Davis",Cryptography,Pomona College,Columbia University,0,26,26,0
2651,Michael Neff,"University of California, Davis",Computer Graphics,McMaster University,University of Toronto,0,14,14,0
2652,Mohammad Sadoghi,"University of California, Davis",Databases,University of Toronto,University of Toronto,0,0,0,0
2653,Nelson L. Max,"University of California, Davis",Computer Graphics,Johns Hopkins University,Harvard University,0,14,14,0
2654,Nina Amenta,"University of California, Davis",Computer Graphics,Yale University,"University of California, Berkeley",0,14,14,0
2655,Norman S. Matloff,"University of California, Davis",High-Performance Computing,,"University of California, Los Angeles",0,7,7,1
2656,Patrice Koehl,"University of California, Davis",Comp. Bio & Bioinformatics,École Centrale Paris,Louis Pasteur University,0,2,2,0
2657,Phillip Rogaway,"University of California, Davis",Cryptography,"University of California, Berkeley",Massachusetts Institute of Technology,0,26,26,0
2658,Prasant Mohapatra,"University of California, Davis",Mobile Computing,"National Institute of Technology, Rourkela",Pennsylvania State University,0,0,0,0
2659,Premkumar T. Devanbu,"University of California, Davis",Software Engineering,Indian Institute of Technology Madras,Rutgers University,0,12,12,0
2660,Raissa M. D'Souza,"University of California, Davis",Algorithms & Complexity,University of Illinois at Urbana-Champaign,Massachusetts Institute of Technology,0,32,32,0
2661,Raju Pandey,"University of California, Davis",Programming Languages,Indian Institute of Technology Kharagpur,University of Texas at Austin,0,7,7,0
2662,Ronald A. Olsson,"University of California, Davis",Programming Languages,,University of Arizona,0,7,7,1
2663,Samuel T. King,"University of California, Davis",Computer Security,"University of California, Los Angeles",University of Michigan,0,31,31,0
2664,Shyhtsun Felix Wu,"University of California, Davis",Computer Security,Tunghai University,Columbia University,0,31,31,0
2665,Vladimir Filkov,"University of California, Davis",Software Engineering,La Roche College,Stony Brook University,0,12,12,0
2666,Xin Liu,"University of California, Davis",Machine Learning & Data Mining,Xi'an Jiaotong University,Purdue University,0,25,25,0
2667,Yong Jae Lee,"University of California, Davis",Computer Vision,University of Illinois at Urbana-Champaign,University of Texas at Austin,0,5,5,0
2668,Zhaojun Bai,"University of California, Davis",High-Performance Computing,Fudan University,Fudan University,0,7,7,0
2669,Aditi Majumder,"University of California, Irvine",Computer Graphics,Jadavpur University,University of North Carolina at Chapel Hill,0,14,14,0
2670,Alex Nicolau,"University of California, Irvine",Computer Architecture,,Yale University,0,2,2,1
2671,Alexander T. Ihler,"University of California, Irvine",Artificial Intelligence,California Institute of Technology,Massachusetts Institute of Technology,0,2,2,0
2672,Alexander V. Veidenbaum,"University of California, Irvine",Computer Architecture,,University of Illinois at Urbana-Champaign,0,2,2,1
2673,Alfred Kobsa,"University of California, Irvine",Human-Computer Interaction,Johannes Kepler University Linz,University of Vienna,0,21,21,0
2674,Amelia C. Regan,"University of California, Irvine",Algorithms & Complexity,University of Pennsylvania,University of Texas at Austin,0,32,32,0
2675,André van der Hoek,"University of California, Irvine",Software Engineering,Erasmus University Rotterdam,University of Colorado Boulder,0,12,12,0
2676,Aparna Chandramowlishwaran,"University of California, Irvine",High-Performance Computing,"Anna University, Chennai",Georgia Institute of Technology,0,7,7,0
2677,Ardalan Amiri Sani,"University of California, Irvine",Operating Systems,Sharif University of Technology,Rice University,0,0,0,0
2678,Babak Shahbaba,"University of California, Irvine",Artificial Intelligence,,University of Toronto,0,2,2,1
2679,Bill Tomlinson,"University of California, Irvine",Human-Computer Interaction,Harvard University,Massachusetts Institute of Technology,0,21,21,0
2680,Bonnie A. Nardi,"University of California, Irvine",Human-Computer Interaction,"University of California, Berkeley","University of California, Irvine",0,21,21,0
2681,Charless C. Fowlkes,"University of California, Irvine",Computer Vision,California Institute of Technology,"University of California, Berkeley",0,5,5,0
2682,Chen Li,"University of California, Irvine",Databases,Tsinghua University,Stanford University,0,0,0,0
2683,Cristina V. Lopes,"University of California, Irvine",Programming Languages,,Northeastern University,0,7,7,1
2684,Daniel A. Epstein,"University of California, Irvine",Human-Computer Interaction,University of Virginia,University of Washington,0,21,21,0
2685,Daniel S. Hirschberg,"University of California, Irvine",Algorithms & Complexity,City College of New York,Princeton University,0,32,32,0
2686,David Arthur Eppstein,"University of California, Irvine",Algorithms & Complexity,Stanford University,Columbia University,0,32,32,0
2687,David F. Redmiles,"University of California, Irvine",Software Engineering,American University,University of Colorado Boulder,0,12,12,0
2688,Debra J. Richardson,"University of California, Irvine",Computer Architecture,"University of California, San Diego",University of Massachusetts Amherst,0,2,2,0
2689,Elaheh Bozorgzadeh,"University of California, Irvine",Computer Architecture,Sharif University of Technology,"University of California, Los Angeles",0,2,2,0
2690,Eric Mjolsness,"University of California, Irvine",Artificial Intelligence,Washington University in St. Louis,California Institute of Technology,0,2,2,0
2691,Erik B. Sudderth,"University of California, Irvine",Machine Learning & Data Mining,"University of California, San Diego",Massachusetts Institute of Technology,0,25,25,0
2692,Gary M. Olson,"University of California, Irvine",Human-Computer Interaction,University of Minnesota,Stanford University,0,21,21,0
2693,Gene Tsudik,"University of California, Irvine",Computer Networks,,University of Southern California,0,34,34,1
2694,Gillian R. Hayes,"University of California, Irvine",Human-Computer Interaction,Vanderbilt University,Georgia Institute of Technology,0,21,21,0
2695,Gloria Mark,"University of California, Irvine",Computer Networks,,Columbia University,0,34,34,1
2696,Ian G. Harris,"University of California, Irvine",Computer Architecture,Massachusetts Institute of Technology,"University of California, San Diego",0,2,2,0
2697,Iftekhar Ahmed,"University of California, Irvine",Software Engineering,Shahjalal University of Science and Technology,Oregon State University,0,12,12,0
2698,Isaac D. Scherson,"University of California, Irvine",Computer Architecture,National Autonomous University of Mexico,Weizmann Institute of Science,0,2,2,0
2699,J. G. Tanenbaum,"University of California, Irvine",Human-Computer Interaction,University of Redlands,Simon Fraser University,0,21,21,0
2700,James A. Jones,"University of California, Irvine",Software Engineering,Ohio State University,Georgia Institute of Technology,0,12,12,0
2701,Joshua Garcia,"University of California, Irvine",Software Engineering,University of Southern California,University of Southern California,0,12,12,0
2702,Judith S. Olson,"University of California, Irvine",Human-Computer Interaction,Northwestern University,University of Michigan,0,21,21,0
2703,Lubomir Bic,"University of California, Irvine",Computer Networks,,"University of California, Irvine",0,34,34,1
2704,M. Gopi,"University of California, Irvine",Computer Vision,Thiagarajar College of Engineering,University of North Carolina at Chapel Hill,0,5,5,0
2705,Magda El Zarki,"University of California, Irvine",Interdisciplinary Areas,Cairo University,Columbia University,0,11,11,0
2706,Marco Levorato,"University of California, Irvine",Computer Networks,University of Ferrara,University of Padua,0,34,34,0
2707,Marios C. Papaefthymiou,"University of California, Irvine",Computer Architecture,California Institute of Technology,Massachusetts Institute of Technology,0,2,2,0
2708,Melissa Mazmanian,"University of California, Irvine",The Web & Information Retrieval,Colorado College,Massachusetts Institute of Technology,0,0,0,0
2709,Michael B. Dillencourt,"University of California, Irvine",Algorithms & Complexity,,University of Maryland,0,32,32,1
2710,Michael Franz,"University of California, Irvine",Software Engineering,ETH Zurich,ETH Zurich,0,12,12,0
2711,Michael J. Carey,"University of California, Irvine",Databases,Carnegie Mellon University,"University of California, Berkeley",0,0,0,0
2712,Michael T. Goodrich,"University of California, Irvine",Algorithms & Complexity,Calvin University,Purdue University,0,32,32,0
2713,Mohammad Abdullah Al Faruque,"University of California, Irvine",Embedded & Real-Time Systems,Bangladesh University of Engineering and Technology,Karlsruhe Institute of Technology,0,14,14,0
2714,Nalini Venkatasubramanian,"University of California, Irvine",Embedded & Real-Time Systems,"The Oxford College of Engineering, Bangalore",University of Illinois at Urbana-Champaign,0,14,14,0
2715,Nikil D. Dutt,"University of California, Irvine",Computer Architecture,Birla Institute of Technology and Science,University of Illinois at Urbana-Champaign,0,2,2,0
2716,Padhraic Smyth,"University of California, Irvine",Artificial Intelligence,National University of Ireland,California Institute of Technology,0,2,2,0
2717,Paul Dourish,"University of California, Irvine",Human-Computer Interaction,University of Edinburgh,University College London,0,21,21,0
2718,Pierre Baldi,"University of California, Irvine",Artificial Intelligence,,California Institute of Technology,0,2,2,1
2719,Qi Alfred Chen,"University of California, Irvine",Computer Security,Nanjing University,University of Michigan,0,31,31,0
2720,Ramesh C. Jain,"University of California, Irvine",Computer Vision,"Visvesvaraya National Institute of Technology, Nagpur",Indian Institute of Technology Kharagpur,0,5,5,0
2721,Richard H. Lathrop,"University of California, Irvine",Artificial Intelligence,Reed College,Massachusetts Institute of Technology,0,2,2,0
2722,Richard N. Taylor,"University of California, Irvine",Software Engineering,University of Colorado Boulder,University of Colorado Denver,0,12,12,0
2723,Rina Dechter,"University of California, Irvine",Artificial Intelligence,"University of California, Los Angeles","University of California, Los Angeles",0,2,2,0
2724,Roy Fox,"University of California, Irvine",Artificial Intelligence,Hebrew University of Jerusalem,Hebrew University of Jerusalem,0,2,2,0
2725,Sam Malek,"University of California, Irvine",Software Engineering,"University of California, Irvine",University of Southern California,0,12,12,0
2726,Sameer Singh,"University of California, Irvine",Machine Learning & Data Mining,Netaji Subhas Institute of Technology,University of Massachusetts Amherst,0,25,25,0
2727,Sandy Irani,"University of California, Irvine",Algorithms & Complexity,Princeton University,"University of California, Berkeley",0,32,32,0
2728,Sang Woo Jun,"University of California, Irvine",Databases,Seoul National University,Massachusetts Institute of Technology,0,0,0,0
2729,Sangeetha Abdu Jyothi,"University of California, Irvine",,National Institute of Technology Calicut,University of Illinois at Urbana-Champaign,0,0,0,1
2730,Scott Jordan,"University of California, Irvine",Computer Networks,"University of California, Berkeley","University of California, Berkeley",0,34,34,0
2731,Sharad Mehrotra,"University of California, Irvine",Databases,Indian Institute of Technology Kanpur,University of Texas at Austin,0,0,0,0
2732,Shuang Zhao,"University of California, Irvine",Computer Graphics,Shanghai Jiao Tong University,Cornell University,0,14,14,0
2733,Stacy M. Branham,"University of California, Irvine",,Virginia Tech,Virginia Tech,0,0,0,1
2734,Stanislaw Jarecki,"University of California, Irvine",Cryptography,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,26,26,0
2735,Stephan Mandt,"University of California, Irvine",Machine Learning & Data Mining,University of Cologne,University of Cologne,0,25,25,0
2736,Tess Tanenbaum,"University of California, Irvine",Computer Graphics,University of Redlands,Simon Fraser University,0,14,14,0
2737,Tony Givargis,"University of California, Irvine",Computer Architecture,"University of California, Riverside","University of California, Riverside",0,2,2,0
2738,Vijay V. Vazirani,"University of California, Irvine",Algorithms & Complexity,Massachusetts Institute of Technology,"University of California, Berkeley",0,32,32,0
2739,Wayne B. Hayes,"University of California, Irvine",Algorithms & Complexity,University of Toronto,University of Toronto,0,32,32,0
2740,Xiaohui Xie,"University of California, Irvine",Artificial Intelligence,Nanjing University,Massachusetts Institute of Technology,0,2,2,0
2741,Yaming Yu,"University of California, Irvine",Scientific Computing,,Harvard University,0,7,7,1
2742,Yunan Chen,"University of California, Irvine",Human-Computer Interaction,China Medical University,Drexel University,0,21,21,0
2743,Zhou Li,"University of California, Irvine",Computer Security,Wuhan University,Indiana University Bloomington,0,31,31,0
2744,Zhou Yu,"University of California, Irvine",Natural Language Processing,Zhejiang University,Carnegie Mellon University,0,0,0,0
2745,Adam Meyerson,"University of California, Los Angeles",Algorithms & Complexity,Massachusetts Institute of Technology,Stanford University,0,32,32,0
2746,Adnan Darwiche,"University of California, Los Angeles",Artificial Intelligence,Kuwait University,Stanford University,0,2,2,0
2747,Alexander A. Sherstov,"University of California, Los Angeles",Algorithms & Complexity,Hope College,University of Texas at Austin,0,32,32,0
2748,Alfonso Carsenas,"University of California, Los Angeles",,San Diego State University,"University of California, Los Angeles",0,0,0,1
2749,Amit Sahai,"University of California, Los Angeles",Cryptography,"University of California, Berkeley",Massachusetts Institute of Technology,0,26,26,0
2750,Carlo Zaniolo,"University of California, Los Angeles",Databases,University of Padua,"University of California, Los Angeles",0,0,0,0
2751,Cho-Jui Hsieh,"University of California, Los Angeles",Machine Learning & Data Mining,National Taiwan University,University of Texas at Austin,0,25,25,0
2752,D. Stott Parker,"University of California, Los Angeles",Machine Learning & Data Mining,Princeton University,University of Illinois at Urbana-Champaign,0,25,25,0
2753,Demetri Terzopoulos,"University of California, Los Angeles",Computer Graphics,McGill University,Massachusetts Institute of Technology,0,14,14,0
2754,Douglass Parker,"University of California, Los Angeles",Machine Learning & Data Mining,Princeton University,University of Illinois at Urbana-Champaign,0,25,25,0
2755,Eleazar Eskin,"University of California, Los Angeles",Machine Learning & Data Mining,University of Chicago,Columbia University,0,25,25,0
