"UniqueId","FullName","University","JoinYear","Rank","SubField","Bachelors","Masters","Doctorate","PostDoc","Gender","PhotoURL","Sources","Last_Updated_By","Last_Updated"
"565","Peter Szolovits","Massachusetts Institute of Technology","","Full","Artificial Intelligence","","","California Institute of Technology - USA","","","","http://groups.csail.mit.edu/medg/people/psz/home/Pete_MEDG_site/Home.html","2","2016-07-24"
"566","Piotr Indyk","Massachusetts Institute of Technology","2000","Full","Algorithms & Theory","","Warsaw University - Poland","Stanford University - USA","","Male","http://www.csail.mit.edu/user/1540","http://www.csail.mit.edu/user/1540","2","2015-10-08"
"567","Rahul Sarpeshkar","Massachusetts Institute of Technology","","Associate","Bioinformatics & Computational Biology","Massachusetts Institute of Technology - USA","","California Institute of Technology - USA","","","","http://www.rle.mit.edu/acbs/people/","2","2016-07-24"
"568","Rajeev Ram","Massachusetts Institute of Technology","2007","Full","Networks & Communications","California Institute of Technology - USA","","University of California - Santa Barbara - USA","","","","http://www.rle.mit.edu/sclaser/documents/RajeevRamCV_000.pdf","2","2016-07-24"
"569","Randall Davis","Massachusetts Institute of Technology","1978","Full","Artificial Intelligence","Dartmouth College - USA","","Stanford University - USA","","Male","http://people.csail.mit.edu/davis/","http://www.csail.mit.edu/user/805","2","2015-10-08"
"570","Regina Barzilay","Massachusetts Institute of Technology","2005","Associate","Natural Language & Speech","","","Columbia University - USA","Cornell University - USA","","","https://www.cs.ualberta.ca/news-events/special-guests-visitors/regina-barzilay","2","2016-07-24"
"571","Rob Miller","Massachusetts Institute of Technology","2002","Full","Human-Computer Interaction","Massachusetts Institute of Technology - USA","Massachusetts Institute of Technology - USA","Carnegie Mellon University - USA","","","","http://people.csail.mit.edu/rcm/","2","2016-07-24"
"572","Robert Berwick","Massachusetts Institute of Technology","","Full","Natural Language & Speech","Harvard University - USA","Massachusetts Institute of Technology - USA","Massachusetts Institute of Technology - USA","","","","http://bcs.mit.edu/people/berwick.html","2","2016-07-24"
"573","Robert Morris","Massachusetts Institute of Technology","","Full","Networks & Communications","Harvard University - USA","","Harvard University - USA","","","","http://pdos.csail.mit.edu/~rtm/","2","2016-07-24"
"574","Ron Weiss","Massachusetts Institute of Technology","2009","Associate","Bioinformatics & Computational Biology","Brandeis University - USA","","Massachusetts Institute of Technology - USA","","","","http://webcache.googleusercontent.com/search?q=cache:pSqiCBWuC60J:www.linkedin.com/pub/ron-weiss/3/922/541+&cd=3&hl=en&ct=clnk&gl=in","2","2016-07-24"
"575","Ronald Rivest","Massachusetts Institute of Technology","1974","Full","Security & Privacy","Yale University - USA","","Stanford University - USA","INRIA - Rocquencourt - France","","","http://www.csail.mit.edu/user/1294","2","2016-07-24"
"576","Ronitt Rubinfeld","Massachusetts Institute of Technology","1998","Associate","Algorithms & Theory","University of Michigan - USA","","University of California - Berkeley - USA","","","","http://www.csail.mit.edu/user/896","2","2016-07-24"
"577","Russell Tedrake","Massachusetts Institute of Technology","2012","Associate","Machine Learning & Pattern Recognition","University of Michigan - USA","","Massachusetts Institute of Technology - USA","","","","http://groups.csail.mit.edu/locomotion/russt_cv.pdf","2","2016-07-24"
"578","Saman Amarasinghe","Massachusetts Institute of Technology","","Full","Programming Languages","Cornell University - USA","Stanford University - USA","Stanford University - USA","","Male","http://people.csail.mit.edu/saman/images/saman1.JPG","http://www.csail.mit.edu/user/693","2","2015-10-08"
"579","Samuel Madden","Massachusetts Institute of Technology","2004","Full","Databases","Massachusetts Institute of Technology - USA","Massachusetts Institute of Technology - USA","University of California - Berkeley - USA","Intel - USA","Male","","http://en.wikipedia.org/wiki/Samuel_Madden_(computer_scientist)","6870","2017-03-15"
"580","Scott Aaronson","Massachusetts Institute of Technology","2007","Associate","Algorithms & Theory","Cornell University - USA","","University of California - Berkeley - USA","University of Waterloo - Ontario - Canada","Male","http://www.csail.mit.edu/images/directory/aaronson.jpg","http://www.scottaaronson.com/vita.pdf","2","2015-10-08"
"581","Seth Teller","Massachusetts Institute of Technology","","Full","Computer Vision","","","University of California - Berkeley - USA","Princeton University - USA","","","http://www.csail.mit.edu/user/1544","2","2016-07-24"
"582","Shafrira Goldwasser","Massachusetts Institute of Technology","1983","Full","Security & Privacy","Carnegie Mellon University - USA","University of California - Berkeley - USA","University of California - Berkeley - USA","","","","http://en.wikipedia.org/wiki/Shafi_Goldwasser","2","2016-07-24"
"583","Silvio Micali","Massachusetts Institute of Technology","1983","Full","Security & Privacy","University of Rome - La Sapienza - Italy","","University of California - Berkeley - USA","","Male","http://www.csail.mit.edu/images/directory/micali.jpg","http://www.csail.mit.edu/user/994","2","2015-10-08"
"584","Srini Devadas","Massachusetts Institute of Technology","1988","Full","Hardware & Architecture","Indian Institute of Technology - Madras - India","","University of California - Berkeley - USA","","","","http://people.csail.mit.edu/devadas/","2","2016-07-24"
"585","Stephen Ward","Massachusetts Institute of Technology","","Full","Hardware & Architecture","Massachusetts Institute of Technology - USA","","Massachusetts Institute of Technology - USA","","Male","","http://www.csail.mit.edu/user/1517","6477","2017-01-29"
"586","Tomas Lozano-Perez","Massachusetts Institute of Technology","","Full","Artificial Intelligence","Massachusetts Institute of Technology - USA","Massachusetts Institute of Technology - USA","Massachusetts Institute of Technology - USA","","","","http://www.csail.mit.edu/user/810","2","2016-07-24"
"587","Tommi Jaakkola","Massachusetts Institute of Technology","1998","Full","Machine Learning & Pattern Recognition","","University of Helsinki - Finland","Massachusetts Institute of Technology - USA","University of California - Santa Cruz - USA","","","http://people.csail.mit.edu/tommi/tommi.html","2","2016-07-24"
"588","Victor Zue","Massachusetts Institute of Technology","","Full","Natural Language & Speech","University of Florida - USA","University of Florida - USA","Massachusetts Institute of Technology - USA","","Male","http://www.csail.mit.edu/images/directory/zue.jpg","http://www.shiae.cuhk.edu/hk/seminar/Oct312008_ProfVictorZue_DL.pdf","2","2015-10-08"
